shorthand,instance type,instances running,sf,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
sSVL,NOT_SET,0,100,1,20,1941.700000,1734.000000,3784.000000,1941.700000,0.082182,0.004109
cL,c6i_large,50,100,1,2,1942.000000,1868.000000,2016.000000,1942.000000,0.004585,0.002293
cXL,c6i_xlarge,25,100,1,5,1605.800000,1548.000000,1660.000000,1605.800000,0.009479,0.001896
c2XL,c6i_2xlarge,13,100,1,5,1663.200000,1577.000000,1773.000000,1663.200000,0.010210,0.002042
c4XL,c6i_4xlarge,7,100,1,5,1762.000000,1697.000000,1814.000000,1762.000000,0.011649,0.002330
c8XL,c6i_8xlarge,4,100,1,3,2255.000000,1989.000000,2759.000000,2255.000000,0.010223,0.003408
c16XL,c6i_16xlarge,2,100,1,2,3648.000000,3448.000000,3848.000000,3648.000000,0.011025,0.005513
c32XL,c6i_32xlarge,1,100,1,4,4541.250000,3913.000000,5839.000000,4541.250000,0.027449,0.006862
nL,c6in_large,50,100,1,3,1825.333000,1815.000000,1838.000000,1825.333000,0.008625,0.002875
nXL,c6in_xlarge,25,100,1,4,1648.250000,1595.000000,1719.000000,1648.250000,0.010384,0.002596
n2XL,c6in_2xlarge,13,100,1,4,1549.750000,1506.000000,1594.000000,1549.750000,0.010154,0.002538
n4XL,c6in_4xlarge,7,100,1,5,1537.400000,1473.000000,1598.000000,1537.400000,0.013560,0.002712
n8XL,c6in_8xlarge,4,100,1,2,2007.500000,1439.000000,2576.000000,2007.500000,0.008094,0.004047
n16XL,c6in_16xlarge,2,100,1,4,4123.250000,3308.000000,6423.000000,4123.250000,0.033250,0.008312
n32XL,c6in_32xlarge,1,100,1,4,4110.000000,4023.000000,4292.000000,4110.000000,0.033143,0.008286
