instance type,sf,average execution time,min execution time,max execution time,normalized average,cost
c6i_large,1,1971.6,1615,2715,1971.6,0.0000465517
c6i_xlarge,1,1486.4,1159,1762,1486.4,0.0000701911
c6i_2xlarge,1,1129.6,1039,1299,1129.6,0.0001066844
serverless,1,2664.8,2253,3988,2664.8,0.0000435023
c6i_large,10,11207.8,9273,14478,11207.8,0.0002646286
c6i_xlarge,10,5762.8,4277,11286,5762.8,0.0002721322
c6i_2xlarge,10,5815.6,2577,8493,5815.6,0.0005492511
serverless,10,2846,2643,3318,2846,0.0004580459
c6i_large,100,13750.6,11509,16397,13750.6,0.0032466694
c6i_xlarge,100,5399,5157,5800,5399,0.0025495278
c6i_2xlarge,100,3063.55,2927,3442,3063.55,0.0028933527
serverless,100,4742.6,4232,6262,4742.6,0.0042906335
